Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0011 ms
Algorytm losowy; 4 miast; czas: 0.0013 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0008 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0007 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0004 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0012 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.001 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0006 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0016 ms
Algorytm losowy; 4 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0011 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0007 ms
Algorytm losowy; 4 miast; czas: 0.0014 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0005 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0006 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0005 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0006 ms
Algorytm losowy; 4 miast; czas: 0.0009 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0005 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0012 ms
Algorytm losowy; 4 miast; czas: 0.0008 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0012 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0009 ms
Algorytm losowy; 4 miast; czas: 0.0018 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0008 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0008 ms
Algorytm losowy; 4 miast; czas: 0.0042 ms
Algorytm przegladu zupelnego; 4 miast; czas: 0.0007 ms
Algorytm najblizszego sasiada; 4 miast; czas: 0.0008 ms
Algorytm losowy; 4 miast; czas: 0.0008 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0026 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0029 ms
Algorytm losowy; 5 miast; czas: 0.0031 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0031 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0022 ms
Algorytm losowy; 5 miast; czas: 0.0019 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0029 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0025 ms
Algorytm losowy; 5 miast; czas: 0.0033 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0049 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.002 ms
Algorytm losowy; 5 miast; czas: 0.0031 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0016 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0024 ms
Algorytm losowy; 5 miast; czas: 0.0024 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0027 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0034 ms
Algorytm losowy; 5 miast; czas: 0.0043 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0017 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0055 ms
Algorytm losowy; 5 miast; czas: 0.0042 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0038 ms
Algorytm losowy; 5 miast; czas: 0.0031 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.002 ms
Algorytm losowy; 5 miast; czas: 0.0026 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0021 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0019 ms
Algorytm losowy; 5 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.001 ms
Algorytm losowy; 5 miast; czas: 0.0182 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0029 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0036 ms
Algorytm losowy; 5 miast; czas: 0.0025 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0021 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0024 ms
Algorytm losowy; 5 miast; czas: 0.002 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0022 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0026 ms
Algorytm losowy; 5 miast; czas: 0.0029 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.002 ms
Algorytm losowy; 5 miast; czas: 0.0013 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0022 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0031 ms
Algorytm losowy; 5 miast; czas: 0.0057 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0032 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0022 ms
Algorytm losowy; 5 miast; czas: 0.0017 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0021 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0011 ms
Algorytm losowy; 5 miast; czas: 0.0019 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0095 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0084 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0022 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0017 ms
Algorytm losowy; 5 miast; czas: 0.002 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0013 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0016 ms
Algorytm losowy; 5 miast; czas: 0.0016 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0012 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0033 ms
Algorytm losowy; 5 miast; czas: 0.0025 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0024 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0029 ms
Algorytm losowy; 5 miast; czas: 0.0015 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0016 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0011 ms
Algorytm losowy; 5 miast; czas: 0.0014 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0019 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0021 ms
Algorytm losowy; 5 miast; czas: 0.0013 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0016 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0013 ms
Algorytm losowy; 5 miast; czas: 0.0013 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0012 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0008 ms
Algorytm losowy; 5 miast; czas: 0.0011 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0012 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0009 ms
Algorytm losowy; 5 miast; czas: 0.0024 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0021 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0035 ms
Algorytm losowy; 5 miast; czas: 0.003 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0026 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0013 ms
Algorytm losowy; 5 miast; czas: 0.0014 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0019 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0014 ms
Algorytm losowy; 5 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0014 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0013 ms
Algorytm losowy; 5 miast; czas: 0.0019 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0008 ms
Algorytm losowy; 5 miast; czas: 0.0019 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0016 ms
Algorytm losowy; 5 miast; czas: 0.0011 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0017 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0011 ms
Algorytm losowy; 5 miast; czas: 0.0121 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0014 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0014 ms
Algorytm losowy; 5 miast; czas: 0.0014 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0013 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0009 ms
Algorytm losowy; 5 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0014 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0032 ms
Algorytm losowy; 5 miast; czas: 0.0017 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0018 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0014 ms
Algorytm losowy; 5 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0016 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.001 ms
Algorytm losowy; 5 miast; czas: 0.0012 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0011 ms
Algorytm najblizszego sasiada; 5 miast; czas: 0.0023 ms
Algorytm losowy; 5 miast; czas: 0.0013 ms
Algorytm przegladu zupelnego; 5 miast; czas: 0.0012 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.016 ms
Algorytm losowy; 10 miast; czas: 8.0982 ms
Algorytm przegladu zupelnego; 10 miast; czas: 20.4579 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0106 ms
Algorytm losowy; 10 miast; czas: 7.565 ms
Algorytm przegladu zupelnego; 10 miast; czas: 21.5618 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0112 ms
Algorytm losowy; 10 miast; czas: 6.8319 ms
Algorytm przegladu zupelnego; 10 miast; czas: 20.5798 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0077 ms
Algorytm losowy; 10 miast; czas: 7.3465 ms
Algorytm przegladu zupelnego; 10 miast; czas: 20.5847 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0081 ms
Algorytm losowy; 10 miast; czas: 7.0517 ms
Algorytm przegladu zupelnego; 10 miast; czas: 23.8089 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0106 ms
Algorytm losowy; 10 miast; czas: 7.4255 ms
Algorytm przegladu zupelnego; 10 miast; czas: 20.7382 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0216 ms
Algorytm losowy; 10 miast; czas: 8.0865 ms
Algorytm przegladu zupelnego; 10 miast; czas: 22.7394 ms
Algorytm najblizszego sasiada; 10 miast; czas: 0.0394 ms
Algorytm losowy; 10 miast; czas: 8.3843 ms
Algorytm przegladu zupelnego; 8 miast; czas: 1.0186 ms
Algorytm najblizszego sasiada; 8 miast; czas: 0.0075 ms
Algorytm losowy; 8 miast; czas: 0.26 ms
Algorytm przegladu zupelnego; 11 miast; czas: 300.079 ms
Algorytm najblizszego sasiada; 11 miast; czas: 0.0149 ms
Algorytm losowy; 11 miast; czas: 209.38 ms
Algorytm losowy; 11 miast; czas: 324.058 ms
Algorytm przegladu zupelnego; 11 miast; czas: 1025.33 ms
Algorytm najblizszego sasiada; 11 miast; czas: 0.0154 ms
Algorytm losowy; 11 miast; czas: 299.877 ms
Algorytm losowy; 11 miast; czas: 286.158 ms
Algorytm przegladu zupelnego; 11 miast; czas: 997.698 ms
Algorytm przegladu zupelnego; 8 miast; czas: 0.336 ms
